row_id,order_id,order_date,ship_date,ship_mode,customer_id,postal_code,product_id,sales,units,gross_profit,cost
4393,US-2023-137547-CHO-TRI-54000,20230307,20280901,Standard Class,137547,76106,CHO-TRI-54000,11.25,3,7.35,3.9
5019,US-2023-128223-CHO-SCR-58000,20230614,20281204,Same Day,128223,92804,CHO-SCR-58000,25.2,7,17.5,7.7
7593,US-2024-107797-CHO-NUT-13000,20240508,20291101,Second Class,107797,76063,CHO-NUT-13000,27.92,8,19.92,8
9132,US-2024-147277-CHO-SCR-58000,20241020,20300416,Standard Class,147277,44312,CHO-SCR-58000,7.2,2,5,2.2
9143,US-2024-147277-OTH-LIC-15000,20241020,20300416,Standard Class,147277,44312,OTH-LIC-15000,40,2,20,20
9427,US-2024-134978-CHO-SCR-58000,20241112,20300508,Second Class,134978,10024,CHO-SCR-58000,18,5,12.5,5.5
2225,US-2022-128083-CHO-MIL-31000,20220312,20270907,Standard Class,128083,33317,CHO-MIL-31000,9.75,3,6.33,3.42
2226,US-2022-128083-CHO-MIL-31000,20220312,20270907,Standard Class,128083,33317,CHO-MIL-31000,13,4,8.44,4.56
2227,US-2022-128083-CHO-SCR-58000,20220312,20270907,Standard Class,128083,33317,CHO-SCR-58000,10.8,3,7.5,3.3
2644,US-2022-166947-CHO-MIL-31000,20220605,20271201,Standard Class,166947,14215,CHO-MIL-31000,29.25,9,18.99,10.26
4584,US-2023-126809-CHO-SCR-58000,20230409,20281003,Standard Class,126809,98103,CHO-SCR-58000,32.4,9,22.5,9.9
4907,US-2023-166380-CHO-SCR-58000,20230530,20281123,Standard Class,166380,22204,CHO-SCR-58000,32.4,9,22.5,9.9
4914,US-2023-166380-CHO-NUT-13000,20230530,20281123,Standard Class,166380,22204,CHO-NUT-13000,6.98,2,4.98,2
5495,US-2023-137652-OTH-GUM-21000,20230828,20290219,First Class,137652,45231,OTH-GUM-21000,10,8,5.2,4.8
5815,US-2023-147340-CHO-SCR-58000,20230924,20290316,Same Day,147340,94110,CHO-SCR-58000,18,5,12.5,5.5
6218,US-2023-145548-CHO-SCR-58000,20231111,20290508,Standard Class,145548,10011,CHO-SCR-58000,10.8,3,7.5,3.3
6220,US-2023-145548-CHO-FUD-51000,20231111,20290508,Standard Class,145548,10011,CHO-FUD-51000,10.8,3,7.2,3.6
6223,US-2023-145548-CHO-NUT-13000,20231111,20290508,Standard Class,145548,10011,CHO-NUT-13000,10.47,3,7.47,3
6225,US-2023-145548-CHO-MIL-31000,20231111,20290508,Standard Class,145548,10011,CHO-MIL-31000,9.75,3,6.33,3.42
6226,US-2023-145548-CHO-SCR-58000,20231111,20290508,Standard Class,145548,10011,CHO-SCR-58000,7.2,2,5,2.2
7428,US-2024-122707-CHO-SCR-58000,20240416,20291009,First Class,122707,35244,CHO-SCR-58000,14.4,4,10,4.4
7429,US-2024-122707-CHO-SCR-58000,20240416,20291009,First Class,122707,35244,CHO-SCR-58000,7.2,2,5,2.2
9393,US-2024-161739-CHO-FUD-51000,20241110,20300508,Second Class,161739,78664,CHO-FUD-51000,18,5,12,6
9649,US-2024-161459-CHO-FUD-51000,20241125,20300522,Second Class,161459,92677,CHO-FUD-51000,21.6,6,14.4,7.2
9654,US-2024-161459-CHO-TRI-54000,20241125,20300522,Second Class,161459,92677,CHO-TRI-54000,18.75,5,12.25,6.5
551,US-2021-146885-CHO-SCR-58000,20210530,20261126,Standard Class,146885,23223,CHO-SCR-58000,10.8,3,7.5,3.3
1856,US-2021-102631-OTH-GUM-21000,20211213,20270609,Standard Class,102631,60623,OTH-GUM-21000,3.75,3,1.95,1.8
2295,US-2022-164301-CHO-MIL-31000,20220326,20270920,Standard Class,164301,98103,CHO-MIL-31000,26,8,16.88,9.12
6516,US-2023-139885-CHO-NUT-13000,20231204,20290530,Standard Class,139885,10035,CHO-NUT-13000,20.94,6,14.94,6
8945,US-2024-156951-CHO-MIL-31000,20241001,20300331,Standard Class,156951,98105,CHO-MIL-31000,9.75,3,6.33,3.42
8948,US-2024-156951-CHO-NUT-13000,20241001,20300331,Standard Class,156951,98105,CHO-NUT-13000,24.43,7,17.43,7
8952,US-2024-156951-CHO-FUD-51000,20241001,20300331,Standard Class,156951,98105,CHO-FUD-51000,10.8,3,7.2,3.6
8953,US-2024-156951-CHO-MIL-31000,20241001,20300331,Standard Class,156951,98105,CHO-MIL-31000,26,8,16.88,9.12
436,US-2021-110219-CHO-TRI-54000,20210505,20261029,First Class,110219,78207,CHO-TRI-54000,11.25,3,7.35,3.9
1518,US-2021-126340-CHO-MIL-31000,20211108,20270507,Standard Class,126340,96003,CHO-MIL-31000,9.75,3,6.33,3.42
2571,US-2022-110569-CHO-TRI-54000,20220523,20271120,Standard Class,110569,85023,CHO-TRI-54000,15,4,9.8,5.2
2572,US-2022-110569-CHO-MIL-31000,20220523,20271120,Standard Class,110569,85023,CHO-MIL-31000,22.75,7,14.77,7.98
2807,US-2022-153626-CHO-TRI-54000,20220709,20280104,Standard Class,153626,37211,CHO-TRI-54000,11.25,3,7.35,3.9
3306,US-2022-106320-CHO-SCR-58000,20220925,20280322,Standard Class,106320,84057,CHO-SCR-58000,10.8,3,7.5,3.3
5896,US-2023-144939-CHO-SCR-58000,20231003,20290330,Standard Class,144939,10035,CHO-SCR-58000,21.6,6,15,6.6
6584,US-2023-159989-CHO-FUD-51000,20231209,20290604,Standard Class,159989,37064,CHO-FUD-51000,10.8,3,7.2,3.6
6962,US-2024-148999-CHO-NUT-13000,20240130,20290727,Standard Class,148999,33142,CHO-NUT-13000,13.96,4,9.96,4
7145,US-2024-130967-CHO-NUT-13000,20240310,20290906,Standard Class,130967,19140,CHO-NUT-13000,10.47,3,7.47,3
8810,US-2024-169817-CHO-TRI-54000,20240921,20300318,Standard Class,169817,19143,CHO-TRI-54000,7.5,2,4.9,2.6
86,US-2021-123400-CHO-MIL-31000,20210202,20260802,Standard Class,123400,33710,CHO-MIL-31000,6.5,2,4.22,2.28
88,US-2021-123400-CHO-TRI-54000,20210202,20260802,Standard Class,123400,33710,CHO-TRI-54000,18.75,5,12.25,6.5
4357,US-2023-101448-CHO-MIL-31000,20230227,20280821,Second Class,101448,54601,CHO-MIL-31000,9.75,3,6.33,3.42
4811,US-2023-122728-CHO-TRI-54000,20230518,20281113,Standard Class,122728,94110,CHO-TRI-54000,11.25,3,7.35,3.9
4812,US-2023-122728-CHO-FUD-51000,20230518,20281113,Standard Class,122728,94110,CHO-FUD-51000,10.8,3,7.2,3.6
6024,US-2023-116400-CHO-FUD-51000,20231022,20290415,First Class,116400,23223,CHO-FUD-51000,14.4,4,9.6,4.8
8195,US-2024-106551-CHO-MIL-31000,20240722,20300117,Standard Class,106551,60653,CHO-MIL-31000,13,4,8.44,4.56
4192,US-2023-164630-CHO-MIL-31000,20230104,20280701,Standard Class,164630,28205,CHO-MIL-31000,13,4,8.44,4.56
4307,US-2023-135461-CHO-FUD-51000,20230207,20280802,Second Class,135461,90049,CHO-FUD-51000,18,5,12,6
5933,US-2023-150357-CHO-SCR-58000,20231010,20290405,Standard Class,150357,27405,CHO-SCR-58000,10.8,3,7.5,3.3
5934,US-2023-150357-CHO-TRI-54000,20231010,20290405,Standard Class,150357,27405,CHO-TRI-54000,7.5,2,4.9,2.6
10189,US-2024-115427-CHO-TRI-54000,20241230,20300626,Standard Class,115427,94533,CHO-TRI-54000,7.5,2,4.9,2.6
