zip,lat,lng,city,state_id,state_name,population,density,county_fips,county_name,timezone
79907,31.7074,-106.32681,El Paso,TX,Texas,49169,1384.4,48141,El Paso,America/Denver
80004,39.81443,-105.12293,Arvada,CO,Colorado,35349,1909.0,08059,Jefferson,America/Denver
80013,39.66145,-104.76577,Aurora,CO,Colorado,73870,2044.8,08005,Arapahoe,America/Denver
80020,39.93121,-105.07407,Broomfield,CO,Colorado,53475,1044.6,08014,Broomfield,America/Denver
80022,39.86448,-104.78868,Commerce City,CO,Colorado,58681,284.8,08001,Adams,America/Denver
80027,39.9508,-105.16354,Louisville,CO,Colorado,34161,708.1,08013,Boulder,America/Denver
80112,39.57288,-104.85854,Englewood,CO,Colorado,36058,780.0,08005,Arapahoe,America/Denver
80122,39.5806,-104.95573,Littleton,CO,Colorado,31650,1717.7,08005,Arapahoe,America/Denver
80134,39.48282,-104.77957,Parker,CO,Colorado,75383,507.5,08035,Douglas,America/Denver
80219,39.69496,-105.03432,Denver,CO,Colorado,64696,3384.1,08031,Denver,America/Denver
80229,39.85472,-104.95867,Denver,CO,Colorado,55929,1726.1,08001,Adams,America/Denver
80501,40.16479,-105.10208,Longmont,CO,Colorado,43222,1322.6,08013,Boulder,America/Denver
80525,40.52795,-105.04249,Fort Collins,CO,Colorado,55315,914.3,08069,Larimer,America/Denver
80538,40.48174,-105.16825,Loveland,CO,Colorado,48929,184.9,08069,Larimer,America/Denver
80634,40.40075,-104.79222,Greeley,CO,Colorado,62001,624.8,08123,Weld,America/Denver
80906,38.76744,-104.87023,Colorado Springs,CO,Colorado,38732,328.1,08041,El Paso,America/Denver
81001,38.29525,-104.5378,Pueblo,CO,Colorado,31160,375.5,08101,Pueblo,America/Denver
93277,36.29963,-119.38139,Visalia,CA,California,54127,530.0,06107,Tulare,America/Los_Angeles
93309,35.34266,-119.06461,Bakersfield,CA,California,62828,2321.0,06029,Kern,America/Los_Angeles
93405,35.29672,-120.72618,San Luis Obispo,CA,California,24991,107.5,06079,San Luis Obispo,America/Los_Angeles
93454,34.94834,-120.23425,Santa Maria,CA,California,41110,37.9,06083,Santa Barbara,America/Los_Angeles
93534,34.71759,-118.15079,Lancaster,CA,California,42515,865.9,06037,Los Angeles,America/Los_Angeles
93727,36.75119,-119.69736,Fresno,CA,California,82176,1443.7,06019,Fresno,America/Los_Angeles
93905,36.6849,-121.60562,Salinas,CA,California,63121,2637.6,06053,Monterey,America/Los_Angeles
94061,37.46136,-122.23731,Redwood City,CA,California,37539,3753.9,06081,San Mateo,America/Los_Angeles
94086,37.37164,-122.02316,Sunnyvale,CA,California,49217,4351.8,06085,Santa Clara,America/Los_Angeles
94109,37.79334,-122.42138,San Francisco,CA,California,56333,20163.9,06075,San Francisco,America/Los_Angeles
94110,37.74975,-122.41528,San Francisco,CA,California,69679,11257.3,06075,San Francisco,America/Los_Angeles
94122,37.76113,-122.48433,San Francisco,CA,California,59453,7047.4,06075,San Francisco,America/Los_Angeles
94403,37.53844,-122.30454,San Mateo,CA,California,43858,3006.3,06081,San Mateo,America/Los_Angeles
94509,37.99214,-121.8142,Antioch,CA,California,70889,1569.1,06013,Contra Costa,America/Los_Angeles
94513,37.92541,-121.68452,Brentwood,CA,California,67580,330.9,06013,Contra Costa,America/Los_Angeles
94521,37.95293,-121.96971,Concord,CA,California,41092,1638.5,06013,Contra Costa,America/Los_Angeles
94526,37.81472,-121.98451,Danville,CA,California,33396,979.0,06013,Contra Costa,America/Los_Angeles
94533,38.28132,-122.00693,Fairfield,CA,California,78129,1339.2,06095,Solano,America/Los_Angeles
59102,45.77479,-108.58133,Billings,MT,Montana,48480,1244.7,30111,Yellowstone,America/Denver
59405,47.28102,-111.25937,Great Falls,MT,Montana,34010,27.4,30013,Cascade,America/Denver
59601,46.54199,-112.17474,Helena,MT,Montana,31447,93.3,30049,Lewis and Clark,America/Denver
59715,45.6928,-110.9065,Bozeman,MT,Montana,39061,51.1,30031,Gallatin,America/Denver
59801,46.85505,-114.01009,Missoula,MT,Montana,31094,1557.0,30063,Missoula,America/Denver
60004,42.11206,-87.97895,Arlington Heights,IL,Illinois,52189,1812.5,17031,Cook,America/Chicago
60016,42.05232,-87.8899,Des Plaines,IL,Illinois,61988,1974.3,17031,Cook,America/Chicago
76706,31.465,-97.09131,Waco,TX,Texas,40770,217.8,48309,McLennan,America/Chicago
76903,31.48168,-100.43787,San Angelo,TX,Texas,30955,477.2,48451,Tom Green,America/Chicago
77036,29.70119,-95.53659,Houston,TX,Texas,72278,3836.1,48201,Harris,America/Chicago
77041,29.86203,-95.58187,Houston,TX,Texas,31912,652.7,48201,Harris,America/Chicago
77070,29.97783,-95.57377,Houston,TX,Texas,58409,1728.8,48201,Harris,America/Chicago
50315,41.5449,-93.62063,Des Moines,IA,Iowa,36355,1363.0,19153,Polk,America/Chicago
50322,41.63383,-93.73589,Urbandale,IA,Iowa,31917,1138.5,19153,Polk,America/Chicago
82001,41.095,-104.93265,Cheyenne,WY,Wyoming,38043,266.5,56021,Laramie,America/Denver
83201,42.88949,-112.38324,Pocatello,ID,Idaho,39170,442.1,16005,Bannock,America/Boise
77095,29.90834,-95.65492,Houston,TX,Texas,69644,1824.1,48201,Harris,America/Chicago
77301,30.30897,-95.43281,Conroe,TX,Texas,34299,656.5,48339,Montgomery,America/Chicago
77340,30.64601,-95.53441,Huntsville,TX,Texas,33969,61.5,48471,Walker,America/Chicago
77489,29.60068,-95.51605,Missouri City,TX,Texas,37748,1290.1,48157,Fort Bend,America/Chicago
77506,29.71786,-95.19018,Pasadena,TX,Texas,37561,1281.9,48201,Harris,America/Chicago
77520,29.74599,-95.00388,Baytown,TX,Texas,36488,669.8,48201,Harris,America/Chicago
77536,29.69021,-95.11891,Deer Park,TX,Texas,33111,1301.6,48201,Harris,America/Chicago
77571,29.69287,-95.06012,La Porte,TX,Texas,37346,389.0,48201,Harris,America/Chicago
77573,29.50213,-95.08636,League City,TX,Texas,95704,1240.6,48167,Galveston,America/Chicago
77581,29.5624,-95.27982,Pearland,TX,Texas,50554,792.8,48039,Brazoria,America/Chicago
77590,29.3804,-94.91759,Texas City,TX,Texas,33347,511.3,48167,Galveston,America/Chicago
77642,29.93917,-93.91606,Port Arthur,TX,Texas,38720,758.0,48245,Jefferson,America/Chicago
77705,29.90652,-94.16961,Beaumont,TX,Texas,38228,60.8,48245,Jefferson,America/Chicago
77803,30.67835,-96.3867,Bryan,TX,Texas,32130,914.0,48041,Brazos,America/Chicago
77840,30.6115,-96.32332,College Station,TX,Texas,53891,2088.0,48041,Brazos,America/Chicago
78041,27.55489,-99.46889,Laredo,TX,Texas,47594,1055.0,48479,Webb,America/Chicago
94568,37.71596,-121.90113,Dublin,CA,California,71068,1663.6,06001,Alameda,America/Los_Angeles
94591,38.12702,-122.19635,Vallejo,CA,California,59026,1080.2,06095,Solano,America/Los_Angeles
94601,37.77684,-122.21822,Oakland,CA,California,52102,6288.0,06001,Alameda,America/Los_Angeles
95037,37.13213,-121.67886,Morgan Hill,CA,California,51867,166.8,06085,Santa Clara,America/Los_Angeles
95051,37.3483,-121.98444,Santa Clara,CA,California,60499,3544.0,06085,Santa Clara,America/Los_Angeles
95123,37.24479,-121.83306,San Jose,CA,California,70952,3502.3,06085,Santa Clara,America/Los_Angeles
95207,38.00242,-121.325,Stockton,CA,California,52877,2817.6,06077,San Joaquin,America/Los_Angeles
95240,38.1177,-121.1627,Lodi,CA,California,50245,284.5,06077,San Joaquin,America/Los_Angeles
95336,37.83351,-121.1988,Manteca,CA,California,49145,495.0,06077,San Joaquin,America/Los_Angeles
95351,37.6236,-120.99828,Modesto,CA,California,48134,2089.9,06099,Stanislaus,America/Los_Angeles
37918,36.0599,-83.91082,Knoxville,TN,Tennessee,45741,511.0,47093,Knox,America/New_York
38109,35.0341,-90.13533,Memphis,TN,Tennessee,45204,292.3,47157,Shelby,America/Chicago
38134,35.17674,-89.85992,Memphis,TN,Tennessee,42789,889.4,47157,Shelby,America/Chicago
38301,35.5908,-88.8531,Jackson,TN,Tennessee,33459,85.6,47113,Madison,America/Chicago
38401,35.62955,-87.02097,Columbia,TN,Tennessee,65393,85.1,47119,Maury,America/Chicago
46060,40.06616,-85.93137,Noblesville,IN,Indiana,47340,226.8,18057,Hamilton,America/Indiana/Indianapolis
46142,39.62029,-86.1764,Greenwood,IN,Indiana,34676,896.2,18081,Johnson,America/Indiana/Indianapolis
46203,39.7368,-86.09586,Indianapolis,IN,Indiana,36544,1012.2,18097,Marion,America/Indiana/Indianapolis
46226,39.83968,-86.05117,Indianapolis,IN,Indiana,45716,1192.4,18097,Marion,America/Indiana/Indianapolis
46350,41.60697,-86.72157,La Porte,IN,Indiana,44923,89.6,18091,LaPorte,America/Chicago
46368,41.5848,-87.17937,Portage,IN,Indiana,39947,608.8,18127,Porter,America/Chicago
46514,41.72328,-85.97547,Elkhart,IN,Indiana,41248,411.6,18039,Elkhart,America/Indiana/Indianapolis
46544,41.61778,-86.13715,Mishawaka,IN,Indiana,30817,299.0,18141,St. Joseph,America/Indiana/Indianapolis
46614,41.60359,-86.28064,South Bend,IN,Indiana,29545,214.2,18141,St. Joseph,America/Indiana/Indianapolis
17403,39.92142,-76.71277,York,PA,Pennsylvania,40014,750.5,42133,York,America/New_York
17602,40.01486,-76.24632,Lancaster,PA,Pennsylvania,50184,788.8,42071,Lancaster,America/New_York
18018,40.62766,-75.39538,Bethlehem,PA,Pennsylvania,31479,2350.0,42077,Lehigh,America/New_York
72401,35.86835,-90.66193,Jonesboro,AR,Arkansas,42159,183.9,05031,Craighead,America/Chicago
32503,30.46022,-87.21372,Pensacola,FL,Florida,33875,1037.2,12033,Escambia,America/Chicago
32712,28.72917,-81.54103,Apopka,FL,Florida,49738,268.4,12095,Orange,America/New_York
32725,28.88368,-81.25061,Deltona,FL,Florida,50825,851.3,12127,Volusia,America/New_York
32771,28.81496,-81.31751,Sanford,FL,Florida,59134,608.9,12117,Seminole,America/New_York
32839,28.48833,-81.40689,Orlando,FL,Florida,49304,2562.5,12095,Orange,America/New_York
32935,28.1444,-80.64832,Melbourne,FL,Florida,41342,1214.6,12009,Brevard,America/New_York
33012,25.86583,-80.30247,Hialeah,FL,Florida,71088,4673.8,12086,Miami-Dade,America/New_York
33021,26.02277,-80.18742,Hollywood,FL,Florida,50300,2198.2,12011,Broward,America/New_York
